Title,Release year,Genre,Runtime(min),Rating,Votes
Kelionė į Mėnulį,1902,"Short, Action, Adventure",13,8.2,54347
The Great Train Robbery,1903,"Short, Action, Adventure",11,7.3,20558
Les vampires,1915,"Action, Adventure, Crime",421,7.3,5316
Nepakantumas,1916,"Drama, History",163,7.7,16486
Judex,1916,"Adventure, Crime",300,7.2,1108
Broken Blossoms or The Yellow Man and the Girl,1919,"Drama, Romance",90,7.2,10911
Daktaro Kaligario kabinetas,1920,"Horror, Mystery, Thriller",76,8.0,68723
Way Down East,1920,"Drama, Romance",145,7.3,5812
The Four Horsemen of the Apocalypse,1921,"Drama, Romance, War",150,7.1,3508
Mažylis,1921,"Comedy, Drama, Family",68,8.2,132674
Karieta vaiduoklė,1921,"Drama, Fantasy, Horror",107,8.0,13752
"Dr. Mabuse, der Spieler",1922,"Crime, Mystery, Thriller",242,7.8,9032
Häxan,1922,"Documentary, Fantasy, Horror",91,7.6,16253
Nanukas iš Šiaurės,1922,Documentary,78,7.6,13211
Our Hospitality,1923,"Comedy, Romance, Thriller",65,7.8,12260
La roue,1923,Drama,417,7.5,2492
Safety Last!,1923,"Action, Comedy, Thriller",74,8.1,22374
The Great White Silence,1922,Documentary,80,8.0,1568
Greed,1924,"Drama, Thriller, Western",140,8.0,10587
The Iron Horse,1924,"Drama, History, Romance",150,7.2,2393
Der letzte Mann,1924,Drama,77,8.0,14944
The Navigator,1924,"Action, Comedy, Romance",59,7.6,10838
Sherlock Jr.,1924,"Action, Comedy, Romance",45,8.2,55122
The Thief of Bagdad,1924,"Adventure, Family, Fantasy",155,7.7,6823
Šarvuotis Potiomkinas,1925,"Drama, History, Thriller",75,7.9,60640
Ben-Hur A Tale of the Christ,1925,"Action, Adventure, Drama",143,7.8,7863
The Big Parade,1925,"Drama, Romance, War",151,7.9,7143
The Freshman,1925,"Comedy, Family, Romance",77,7.5,5960
Aukso karštligė,1925,"Adventure, Comedy, Drama",95,8.1,116800
The Phantom of the Opera,1925,Horror,93,7.5,19818
Seven Chances,1925,"Comedy, Romance",56,7.8,11502
Stachka,1925,Drama,82,7.6,8477
Die Abenteuer des Prinzen Achmed,1926,"Animation, Adventure, Family",80,7.8,6708
Generolas,1926,"Action, Adventure, Comedy",78,8.1,96523
Džiazo dainininkas,1927,"Drama, Music, Musical",88,6.4,10864
Frankenšteinas,1931,"Drama, Horror, Sci-Fi",70,7.8,78363
Dracula,1931,"Drama, Fantasy, Horror",75,7.4,57523
Daktaras Džekilas ir ponas Haidas,1931,"Horror, Sci-Fi",98,7.6,15477
Didmiesčio žiburiai,1931,"Comedy, Drama, Romance",87,8.5,192991
La chienne,1931,"Crime, Drama",91,7.5,4747
The Champ,1931,"Drama, Family, Sport",86,7.2,3524
Sous les toits de Paris,1930,"Comedy, Drama, Musical",96,7.1,2446
Little Caesar,1931,"Action, Crime, Drama",79,7.2,14216
Hell's Angels,1930,"Drama, War",127,7.3,5811
Zemlya,1930,Drama,75,7.2,6273
Žydrasis angelas,1930,"Drama, Music",104,7.7,16078
Animal Crackers,1930,"Comedy, Family, Musical",97,7.4,15093
Vakarų fronte nieko naujo,1930,"Drama, War",152,8.1,66747
Aukso amžius,1930,"Comedy, Drama",60,7.2,14628
Die Büchse der Pandora,1929,"Crime, Drama, Romance",109,7.8,11619
Žmogus su kino kamera,1929,Documentary,68,8.3,27418
Andalūzijos šuo,1929,"Short, Fantasy, Horror",16,7.6,53007
The Wind,1928,"Drama, Romance, Thriller",95,8.0,7022
